,href,youtuber_name,part,gender
0,/watch?v=veGhKuMt5Kc,Barbellator,chest,1
1,/watch?v=wxJWjzXkA1Y,Barbellator,chest,1
2,/watch?v=8P15JzLwEjs,Barbellator,chest,1
3,/watch?v=ellZftT1lRE,Barbellator,chest,1
4,/watch?v=UsxPD9oLjSM,Barbellator,chest,1
5,/watch?v=6VXarwcdbeY,Barbellator,chest,1
6,/watch?v=_-8UnKWopy8,Barbellator,chest,1
7,/watch?v=X7sZyLtnw_A,Barbellator,chest,1
8,/watch?v=OKEUZY9xVcw,Barbellator,chest,1
9,/watch?v=lIEhSwJX6bQ,Barbellator,chest,1
10,/watch?v=SgGOuHvaCIc,Barbellator,chest,1
11,/watch?v=jLVFgaDN4-s,Barbellator,chest,1
12,/watch?v=VNQpP6C1fJg,Barbellator,chest,1
13,/watch?v=IBNnFIOQyrY,Barbellator,chest,1
14,/watch?v=c_5ENJWekbQ,Barbellator,chest,1
15,/watch?v=O3b5j5V-bvY,Barbellator,chest,1
16,/watch?v=tGv_L3CPi84,Barbellator,chest,1
17,/watch?v=pQSfXvaQGas,Barbellator,chest,1
18,/watch?v=nWhS28U6bCY,Barbellator,chest,1
19,/watch?v=nF7We3ODRKY,Barbellator,chest,1
20,/watch?v=-J3Ii6ZebgQ,Barbellator,chest,1
21,/watch?v=wtKuJGn1M_g,Barbellator,chest,1
22,/watch?v=3T8ttRvEy_M,Barbellator,chest,1
23,/watch?v=7znPcMJdpQE,Barbellator,chest,1
0,/watch?v=Q8SYsSeLkH0,Barbellator,back,1
1,/watch?v=N-5FQSLHlg0,Barbellator,back,1
2,/watch?v=ygUYcoLy8OU,Barbellator,back,1
3,/watch?v=N22IxiwHtXY,Barbellator,back,1
4,/watch?v=kIUfap2CkhA,Barbellator,back,1
5,/watch?v=PKwbgXkc1JY,Barbellator,back,1
6,/watch?v=3LHoKV0as24,Barbellator,back,1
7,/watch?v=0NdFt8ZcOMU,Barbellator,back,1
8,/watch?v=btNJXENOmxw,Barbellator,back,1
9,/watch?v=-J3Ii6ZebgQ,Barbellator,back,1
10,/watch?v=nF7We3ODRKY,Barbellator,back,1
11,/watch?v=zeoZeiBs-KQ,Barbellator,back,1
12,/watch?v=eZnpyUzJiFo,Barbellator,back,1
13,/watch?v=kgUndAxMqY8,Barbellator,back,1
14,/watch?v=Fvaa7LPCKWc,Barbellator,back,1
15,/watch?v=BGLkbXAekYo,Barbellator,back,1
16,/watch?v=_HSCb3U1xQw,Barbellator,back,1
17,/watch?v=lxmNUF6A93s,Barbellator,back,1
18,/watch?v=ChybqnXtB68,Barbellator,back,1
19,/watch?v=g7o9nshGDA8,Barbellator,back,1
20,/watch?v=pQSfXvaQGas,Barbellator,back,1
21,/watch?v=W2qFdHDskY4,Barbellator,back,1
22,/watch?v=4gfWO-RAiWk,Barbellator,back,1
23,/watch?v=1J7N9opTGxc,Barbellator,back,1
24,/watch?v=pyWFwdZx_Ro,Barbellator,back,1
25,/watch?v=UsxPD9oLjSM,Barbellator,back,1
26,/watch?v=QcZSDphg0lM,Barbellator,back,1
27,/watch?v=v74AoWGUUSM,Barbellator,back,1
28,/watch?v=Zq8nRY9P_cM,Barbellator,back,1
29,/watch?v=NcJUpDtzTGc,Barbellator,back,1
0,/watch?v=BGLkbXAekYo,Barbellator,shoulder,1
1,/watch?v=aGUpYuOJq74,Barbellator,shoulder,1
2,/watch?v=3gForw_w7LY,Barbellator,shoulder,1
